0	-1.267	0.465	2.198	3.931	5.663	7.396	9.129	10.861	12.594	14.327	16.059	17.792	19.525	21.257	22.99	24.723	26.455	28.188	29.921	31.653	33.386	35.119	36.851	38.584	40.317	42.05	43.782	45.515	47.248	48.98	50.713	52.446	54.178	55.911	57.644	59.376	61.109	62.842	64.574	66.307	68.04	69.772	71.505	73.238	74.97	76.703	78.436	80.168	81.901	83.634	85.366	87.099	88.832	90.564	92.297	94.03	95.762	97.495	99.228	100.96	102.693	104.426	106.158	107.891	109.624	111.356	113.089	114.822	116.554	118.287	120.02	121.752	123.485	125.218	126.95	128.683	130.416	132.149	133.881	135.614	137.347	139.079	140.812	142.545	144.277	146.01	147.743	149.475	151.208	152.941	154.673	156.406	158.139	159.871	161.604	163.337	165.069	166.802	168.535	170.267
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2	0	0	0	0	0	0	0	0.307	0.5	0.643	0.774	0.912	1.068	1.25	1.465	1.711	1.976	2.254	2.538	2.822	3.106	3.388	3.674	3.973	4.296	4.656	5.066	5.544	6.116	6.826	7.749	8.744	9.707	10.705	12.191	13.543	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	13.883	11.532	7.263	5.25	4.189	3.509	3.044	2.709	2.457	2.247	2.059	1.888	1.728	1.576	1.431	1.291	1.16	1.041	0.926	0.809	0.679	0.523	0.34	0.125	0	0
0.4	0	0	0	0	0	0	0	0.76	1.036	1.271	1.499	1.735	1.986	2.253	2.531	2.814	3.102	3.401	3.713	4.043	4.394	4.774	5.189	5.653	6.18	6.781	7.42	8.061	8.708	9.365	10.034	10.766	11.731	12.917	13.458	13.775	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.972	13.448	11.546	9.348	7.331	6.137	5.362	4.804	4.366	4.004	3.686	3.398	3.129	2.872	2.624	2.381	2.152	1.938	1.731	1.52	1.289	1.019	0.71	0.353	0	0
0.6	0	0	0	0	0	0	0.727	1.187	1.528	1.838	2.14	2.443	2.749	3.055	3.357	3.666	3.99	4.333	4.698	5.092	5.522	5.995	6.503	7.036	7.593	8.157	8.727	9.302	9.887	10.533	11.287	12.177	12.917	13.343	13.644	13.859	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.998	13.709	12.809	11.547	10.138	8.529	7.31	6.451	5.82	5.339	4.946	4.589	4.255	3.935	3.623	3.313	3.016	2.733	2.455	2.17	1.861	1.504	1.099	0.638	0	0
0.8	0	0	0	0	0	0	1.051	1.532	1.934	2.314	2.683	3.045	3.396	3.737	4.066	4.4	4.756	5.135	5.541	5.971	6.425	6.904	7.407	7.934	8.476	9.02	9.578	10.171	10.821	11.545	12.305	12.828	13.211	13.506	13.729	13.891	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.806	13.338	12.421	11.501	10.449	9.23	8.06	7.178	6.512	5.985	5.542	5.15	4.789	4.442	4.095	3.755	3.424	3.094	2.751	2.379	1.952	1.474	0.932	0.291	0
1	0	0	0	0	0	0	1.262	1.802	2.286	2.737	3.164	3.572	3.959	4.327	4.675	5.027	5.398	5.79	6.204	6.643	7.104	7.589	8.093	8.615	9.16	9.726	10.321	10.959	11.647	12.249	12.702	13.066	13.359	13.591	13.768	13.9	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.847	13.525	12.93	12.153	11.401	10.539	9.549	8.521	7.669	7.003	6.453	5.977	5.548	5.146	4.758	4.383	4.017	3.648	3.262	2.843	2.367	1.832	1.226	0.505	0
1.2	0	0	0	0	0	0	1.452	2.06	2.612	3.12	3.593	4.036	4.449	4.832	5.187	5.545	5.925	6.327	6.753	7.201	7.67	8.159	8.673	9.213	9.78	10.372	10.996	11.622	12.132	12.555	12.909	13.205	13.446	13.637	13.786	13.907	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.858	13.619	13.196	12.574	11.914	11.248	10.493	9.639	8.789	8	7.343	6.783	6.286	5.828	5.393	4.977	4.573	4.166	3.743	3.283	2.762	2.18	1.52	0.73	0
1.4	0	0	0	0	0	0.875	1.636	2.305	2.914	3.468	3.975	4.441	4.868	5.261	5.625	5.993	6.383	6.797	7.233	7.691	8.172	8.676	9.206	9.763	10.348	10.956	11.508	11.981	12.389	12.74	13.041	13.293	13.498	13.663	13.8	13.913	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.861	13.667	13.337	12.856	12.266	11.666	11.043	10.351	9.618	8.897	8.205	7.565	7	6.486	6.005	5.548	5.105	4.661	4.199	3.7	3.14	2.517	1.8	0.932	0
1.6	0	0	0	0	0	1.03	1.81	2.533	3.189	3.777	4.308	4.792	5.234	5.64	6.015	6.394	6.796	7.222	7.67	8.141	8.634	9.151	9.693	10.264	10.835	11.348	11.804	12.206	12.56	12.867	13.129	13.349	13.531	13.684	13.812	13.918	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.864	13.689	13.42	13.026	12.523	11.969	11.395	10.793	10.173	9.532	8.896	8.277	7.682	7.117	6.59	6.093	5.612	5.131	4.632	4.095	3.499	2.819	2.035	1.109	0
1.8	0	0	0	0	0	1.162	1.97	2.739	3.433	4.05	4.604	5.107	5.565	5.984	6.371	6.763	7.178	7.616	8.075	8.555	9.058	9.583	10.13	10.659	11.155	11.604	12.007	12.366	12.681	12.956	13.189	13.388	13.559	13.702	13.822	13.922	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.867	13.697	13.47	13.135	12.704	12.2	11.664	11.098	10.535	9.974	9.396	8.816	8.244	7.684	7.138	6.608	6.091	5.574	5.038	4.46	3.809	3.07	2.235	1.265	0
2	0	0	0	0	0	1.272	2.113	2.924	3.652	4.296	4.874	5.395	5.868	6.302	6.704	7.108	7.534	7.981	8.447	8.934	9.442	9.958	10.458	10.935	11.384	11.792	12.158	12.484	12.771	13.019	13.236	13.424	13.583	13.718	13.831	13.925	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.869	13.703	13.496	13.208	12.828	12.377	11.875	11.342	10.802	10.273	9.753	9.217	8.675	8.133	7.594	7.056	6.517	5.968	5.393	4.77	4.069	3.282	2.407	1.404	0.182
2.2	0	0	0	0	0.343	1.364	2.241	3.091	3.852	4.523	5.122	5.662	6.153	6.603	7.017	7.431	7.865	8.317	8.787	9.276	9.766	10.246	10.707	11.146	11.56	11.936	12.274	12.574	12.838	13.073	13.278	13.454	13.605	13.732	13.839	13.929	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13.871	13.71	13.51	13.255	12.917	12.508	12.044	11.541	11.024	10.509	10.004	9.508	9.001	8.484	7.961	7.425	6.873	6.3	5.693	5.03	4.288	3.464	2.557	1.53	0.299
