0.51	0.16041	0.51	0.35668	0.51	0.47166	0.51	0.53719	0.51	0.58553	0.51	0.61162	0.51	0.63	0.51	0.63536	0.51	0.64761
0.53	0.15758	0.53	0.35761	0.53	0.4767	0.53	0.54476	0.53	0.59453	0.53	0.62226	0.53	0.64184	0.53	0.64862	0.53	0.66135
0.54	0.15464	0.54	0.35829	0.54	0.48146	0.54	0.55208	0.54	0.60329	0.54	0.63266	0.54	0.65343	0.54	0.66164	0.54	0.67491
0.55	0.15163	0.55	0.35874	0.55	0.48593	0.55	0.55915	0.55	0.61179	0.55	0.64281	0.55	0.66479	0.55	0.67445	0.55	0.68828
0.57	0.14855	0.57	0.35899	0.57	0.49014	0.57	0.56599	0.57	0.62007	0.57	0.65272	0.57	0.67592	0.57	0.68703	0.57	0.70146
0.58	0.14541	0.58	0.35905	0.58	0.49409	0.58	0.57259	0.58	0.62812	0.58	0.66242	0.58	0.68682	0.58	0.6994	0.58	0.71447
0.6	0.14224	0.6	0.35893	0.6	0.49779	0.6	0.57899	0.6	0.63595	0.6	0.67189	0.6	0.6975	0.6	0.71156	0.6	0.72731
0.61	0.13905	0.61	0.35865	0.61	0.50126	0.61	0.58517	0.61	0.64359	0.61	0.68115	0.61	0.70797	0.61	0.72351	0.61	0.73998
0.63	0.13585	0.63	0.35823	0.63	0.50451	0.63	0.59115	0.63	0.65103	0.63	0.69021	0.63	0.71824	0.63	0.73526	0.63	0.75249
0.65	0.13265	0.65	0.35767	0.65	0.50755	0.65	0.59694	0.65	0.65828	0.65	0.69907	0.65	0.7283	0.65	0.74682	0.65	0.76483
0.66	0.12947	0.66	0.35699	0.66	0.51039	0.66	0.60255	0.66	0.66535	0.66	0.70775	0.66	0.73817	0.66	0.75818	0.66	0.77702
0.67	0.12631	0.67	0.3562	0.67	0.51303	0.67	0.60798	0.67	0.67225	0.67	0.71624	0.67	0.74786	0.67	0.76935	0.67	0.78906
0.69	0.12318	0.69	0.35532	0.69	0.51549	0.69	0.61323	0.69	0.67899	0.69	0.72456	0.69	0.75736	0.69	0.78033	0.69	0.80095
0.7	0.1201	0.7	0.35434	0.7	0.51777	0.7	0.61832	0.7	0.68558	0.7	0.7327	0.7	0.76668	0.7	0.79113	0.7	0.81269
0.72	0.11707	0.72	0.3533	0.72	0.51989	0.72	0.62326	0.72	0.69201	0.72	0.74068	0.72	0.77584	0.72	0.80176	0.72	0.82429
0.73	0.11411	0.73	0.35218	0.73	0.52185	0.73	0.62804	0.73	0.6983	0.73	0.7485	0.73	0.78482	0.73	0.81221	0.73	0.83575
0.75	0.11121	0.75	0.35101	0.75	0.52366	0.75	0.63267	0.75	0.70446	0.75	0.75617	0.75	0.79364	0.75	0.8225	0.75	0.84708
0.77	0.10838	0.77	0.34978	0.77	0.52532	0.77	0.63717	0.77	0.71048	0.77	0.76369	0.77	0.80231	0.77	0.83261	0.77	0.85827
0.78	0.10564	0.78	0.34852	0.78	0.52685	0.78	0.64152	0.78	0.71638	0.78	0.77107	0.78	0.81082	0.78	0.84257	0.78	0.86934
0.79	0.10297	0.79	0.34722	0.79	0.52825	0.79	0.64574	0.79	0.72215	0.79	0.7783	0.79	0.81919	0.79	0.85237	0.79	0.88028
0.81	0.1004	0.81	0.34589	0.81	0.52953	0.81	0.64984	0.81	0.72781	0.81	0.7854	0.81	0.82741	0.81	0.86202	0.81	0.89109
0.82	0.09791	0.82	0.34454	0.82	0.53069	0.82	0.65381	0.82	0.73335	0.82	0.79237	0.82	0.83549	0.82	0.87152	0.82	0.90178
0.84	0.09552	0.84	0.34316	0.84	0.53174	0.84	0.65766	0.84	0.73878	0.84	0.79921	0.84	0.84343	0.84	0.88088	0.84	0.91236
0.85	0.09322	0.85	0.34178	0.85	0.53268	0.85	0.66139	0.85	0.7441	0.85	0.80593	0.85	0.85124	0.85	0.89009	0.85	0.92281
0.87	0.09102	0.87	0.34039	0.87	0.53353	0.87	0.66501	0.87	0.74931	0.87	0.81253	0.87	0.85892	0.87	0.89917	0.87	0.93315
0.89	0.08892	0.89	0.33899	0.89	0.53427	0.89	0.66851	0.89	0.75443	0.89	0.81901	0.89	0.86648	0.89	0.90812	0.89	0.94337
0.9	0.0869	0.9	0.33758	0.9	0.53492	0.9	0.6719	0.9	0.75944	0.9	0.82537	0.9	0.87391	0.9	0.91693	0.9	0.95348
0.91	0.08499	0.91	0.33617	0.91	0.53548	0.91	0.67518	0.91	0.76435	0.91	0.83162	0.91	0.88122	0.91	0.92563	0.91	0.96349
0.93	0.08316	0.93	0.33476	0.93	0.53596	0.93	0.67836	0.93	0.76916	0.93	0.83775	0.93	0.88842	0.93	0.9342	0.93	0.97338
0.94	0.08142	0.94	0.33335	0.94	0.53635	0.94	0.68143	0.94	0.77388	0.94	0.84378	0.94	0.89551	0.94	0.94266	0.94	0.98316
0.96	0.07976	0.96	0.33194	0.96	0.53667	0.96	0.68439	0.96	0.77849	0.96	0.8497	0.96	0.90248	0.96	0.951	0.96	0.99284
0.97	0.07819	0.97	0.33053	0.97	0.5369	0.97	0.68724	0.97	0.78301	0.97	0.85552	0.97	0.90934	0.97	0.95923	0.97	1.00241
0.99	0.07668	0.99	0.32912	0.99	0.53706	0.99	0.69	0.99	0.78743	0.99	0.86122	0.99	0.9161	0.99	0.96737	0.99	1.01188
